HUC8,SITENUM,YEAR,LAT,LONG,BFI,PRECIP_MM,TEMP_C,AREA_KM2,SLOPE_DEGREES,ELEVATION_MASL,ET_MM,SOIL_A_PERCENT,SOIL_B_PERCENT,SOIL_C_PERCENT,SOIL_D_PERCENT,SOIL_A_D_PERCENT,SOIL_B_D_PERCENT,SOIL_C_D_PERCENT,LC_UNCLASSIFIED_PERCENT,LC_OPEN_WATER_PERCENT,LC_DEVELOPED_OPEN_SPACE_PERCENT,LC_DEVELOPED_LOW_INTENSITY_PERCENT,LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT,LC_DEVELOPED_HIGH_INTENSITY_PERCENT,LC_BARREN_LAND_PERCENT,LC_DECIDUOUS_FOREST_PERCENT,LC_EVERGREEN_FOREST_PERCENT,LC_MIXED_FOREST_PERCENT,LC_SHRUB_PERCENT,LC_HERBACEOUS_PERCENT,LC_HAY_PASTURE_PERCENT,LC_CULTIVATED_CROPS_PERCENT,LC_WOODY_WETLANDS_PERCENT,LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT,KARST_PERCENT,IGNEOUS_INTRUSIVE_PERCENT,SEDIMENTARY_CLASTIC_PERCENT,METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,METAMORPHIC_SCHIST_PERCENT,SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_VOLCANIC_PERCENT,METAMORPHIC_UNDIFFERENTIATED_PERCENT,UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT,IGNEOUS_UNDIFFERENTIATED_PERCENT,METAMORPHIC_GNEISS_PERCENT,METAMORPHIC_VOLCANIC_PERCENT,METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT,ASPECT_FLAT_PERCENT,ASPECT_NORTH_PERCENT,ASPECT_SOUTH_PERCENT
15070102,9512800,1981,34.01558948,-112.1679378,0.349,27.2819,18.9891,7115.792,9.0052,946.3503,125.6237,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512500,2011,34.3153073,-112.0640455,0.628,18.6779,18.6456,7115.792,9.0052,946.3503,125.6237,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512500,2009,34.3153073,-112.0640455,0.439,16.4662,19.1822,7115.792,9.0052,946.3503,125.6237,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512800,2019,34.01558948,-112.1679378,0.18,41.4879,18.4101,7115.792,9.0052,946.3503,125.6237,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512500,2012,34.3153073,-112.0640455,0.119,21.877,19.5115,7115.792,9.0052,946.3503,125.6237,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512800,1987,34.01558948,-112.1679378,0.206,33.3981,18.1369,7115.792,9.0052,946.3503,125.6237,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512800,1988,34.01558948,-112.1679378,0.185,28.9764,18.6029,7115.792,9.0052,946.3503,125.6237,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512800,1989,34.01558948,-112.1679378,0.36,19.0524,19.2328,7115.792,9.0052,946.3503,125.6237,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512500,1975,34.3153073,-112.0640455,0.305,20.2284,17.2559,7115.792,9.0052,946.3503,125.6237,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512800,1993,34.01558948,-112.1679378,0.207,50.2274,18.3078,7115.792,9.0052,946.3503,125.6237,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7.00E-04,0,0.0723,0,0.6684,0.0618,1.00E-04,0.0206,0.0011,3.00E-04,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
